TempératureCorporel38.0°C Toux Fatigue Courbatures MauxDeTête Grippe
= Oui Moyenne Oui Non Oui
< Oui Forte Non Oui Non
= Oui Forte Oui Non Oui
< Oui Faible Non Oui Non
< Non Faible Non Oui Non
= Oui Moyenne Non Non Non
< Non Forte Oui Non Non
> Oui Moyenne Oui Oui Oui
> Oui Forte Non Non Oui
< Non Faible Non Non Non
< Non Moyenne Non Oui Non
> Oui Moyenne Oui Non Oui
> Oui Forte Oui Oui Oui
= Oui Moyenne Oui Oui Oui
< Non Faible Non Non Non
> Oui Forte Oui Non Oui
> Non Faible Oui Non Non
< Non Faible Oui Oui Non
< Oui Moyenne Oui Oui Oui
< Non Moyenne Non Non Non
> Oui Moyenne Non Oui Oui
= Non Faible Non Non Non
> Oui Faible Non Oui Non
> Oui Forte Non Oui Oui
< Non Moyenne Oui Oui Non
> Non Faible Oui Oui Non
< Oui Moyenne Oui Non Non
= Non Faible Non Oui Non
> Non Moyenne Non Oui Non
= Non Moyenne Oui Oui Non
